row,element,element_id,name,from_ppc_bus,to_ppc_bus,kv,capacity_mva,x_pu,is_bridge
76,line,76,友寄変電所~佐敷変電所線,14,67,66.0,68.59,0.000461,1
77,line,77,友寄変電所~長毛変電所線,14,29,66.0,68.59,0.000369,1
78,line,78,沖縄電力 66.0kV線,15,68,66.0,68.59,0.000342,1
79,line,79,東変電所~海洋博変電所線,15,24,66.0,68.59,0.000566,1
80,line,80,仲宗根変電所~東変電所線,15,18,66.0,68.59,0.00028,1
81,line,81,namebind,86,37,66.0,68.59,0.000269,0
82,line,82,曙変電所~久茂地変電所線,86,92,66.0,68.59,0.000105,0
83,line,83,曙変電所~久茂地変電所線,92,36,66.0,68.59,3e-05,0
84,line,84,曙変電所~久茂地変電所線,36,37,66.0,68.59,5.8e-05,0
85,line,85,久茂地変電所~西那覇変電所線,37,39,66.0,68.59,2e-05,1
86,line,86,壷川変電所~久茂地変電所線,37,21,66.0,68.59,3.3e-05,0
87,line,87,名護電力所~仲宗根変電所線,16,18,66.0,68.59,0.000286,1
88,line,88,名護電力所~山入端変電所線,16,76,66.0,68.59,0.000415,1
89,line,89,奥間変電所~田港変電所線,70,20,66.0,68.59,0.001659,1
90,line,90,沖縄電力 132.0kV線,17,72,132.0,548.71,4.5e-05,0
91,line,91,沖縄電力 66.0kV線,18,75,66.0,68.59,0.000242,1
92,line,92,leadin,19,85,66.0,68.59,6.2e-05,1
93,line,93,那覇変電所~壷川変電所線,19,21,66.0,68.59,0.000128,0
94,line,94,松田変電所~Henoko Substation線,41,38,66.0,137.18,0.00017,0
95,trafo,0,trafo_132/66kV,11,10,132.0,100.0,0.001199,0
96,trafo,1,trafo_132/66kV,22,23,132.0,100.0,0.001199,0
97,trafo,2,trafo_132/66kV,27,28,132.0,100.0,0.001199,0
98,trafo,3,trafo_132/66kV,30,31,132.0,100.0,0.001199,0
99,trafo,4,trafo_132/66kV,32,33,132.0,100.0,0.001199,0
100,trafo,5,trafo_132/66kV,34,35,132.0,100.0,0.001199,0
101,trafo,6,trafo_132/66kV,44,45,132.0,100.0,0.001199,0
102,trafo,7,trafo_132/66kV,46,47,132.0,100.0,0.001199,0
103,trafo,8,trafo_132/66kV,48,49,132.0,100.0,0.001199,0
104,trafo,9,trafo_132/66kV,52,53,132.0,100.0,0.001199,0
105,trafo,10,trafo_132/66kV,54,55,132.0,100.0,0.001199,0
106,trafo,11,trafo_132/66kV,56,57,132.0,100.0,0.001199,0
107,trafo,12,trafo_132/66kV,58,59,132.0,100.0,0.001199,0
108,trafo,13,trafo_132/66kV,60,61,132.0,100.0,0.001199,0
109,trafo,14,trafo_132/66kV,62,63,132.0,100.0,0.001199,0
110,trafo,15,trafo_132/66kV,65,66,132.0,100.0,0.001199,0
111,trafo,16,trafo_132/66kV,73,74,132.0,100.0,0.001199,0
112,trafo,17,trafo_132/66kV,81,82,132.0,100.0,0.001199,0
113,trafo,18,trafo_132/66kV,88,89,132.0,100.0,0.001199,0
