row,element,element_id,name,from_ppc_bus,to_ppc_bus,kv,capacity_mva,x_pu,is_bridge
1893,line,1954,葛巻線,1782,1781,66.0,68.59,0.001484,1
1894,line,1955,一戸線,1782,779,66.0,137.18,0.000243,0
1895,line,1956,leadin,779,1815,66.0,68.59,0.00028,1
1896,line,1957,一戸線,779,1733,66.0,137.18,0.000618,0
1897,line,1958,二戸線,1733,785,66.0,137.18,0.000195,0
1898,line,1959,堤町支線,1770,780,66.0,137.18,4.4e-05,1
1899,line,1960,堤町支線,1770,1708,66.0,137.18,3e-05,1
1900,line,1961,八坂線;十和田東線,780,786,66.0,274.36,1.3e-05,0
1901,line,1962,東北電力ネットワーク 66.0kV線,1803,1804,66.0,68.59,5.4e-05,1
1902,line,1964,湊支線;1A2D線,1801,1739,66.0,137.18,2e-05,0
1903,line,1965,吹上線,1829,1739,66.0,137.18,0.000129,0
1904,line,1966,前山支線,781,1738,66.0,137.18,0.000169,1
1905,line,1967,十和田東線,781,786,66.0,137.18,0.000315,0
1906,line,1968,市川線,1738,1741,66.0,137.18,0.000174,1
1907,line,1969,東下田線,1738,1742,66.0,137.18,0.000267,1
1908,line,1970,東下田線,1742,1743,66.0,137.18,2.6e-05,1
1909,line,1971,南部古館線,1746,1745,66.0,137.18,0.00039,1
1910,line,1972,三戸線,1745,1747,66.0,137.18,0.000678,1
1911,line,1973,青い森鉄道 剣吉変電所~剣吉変電所線,1745,1748,66.0,68.59,0.000235,1
1912,line,1974,小中島線,1747,1787,66.0,68.59,0.000448,1
1913,line,1975,六ヶ所変電所~尾駮変電所線,1795,1756,154.0,1066.94,2e-06,0
1914,line,1976,白糠変電所~東通村変電所線,1753,1825,66.0,68.59,5e-05,0
1915,line,1977,白近線,1753,1777,66.0,68.59,0.000835,0
1916,line,1978,白糠変電所~東通村変電所線,1825,1800,66.0,68.59,1.8e-05,0
1917,line,1979,六ヶ所線,782,788,154.0,533.47,3.6e-05,0
1918,line,1980,八戸変電所~長苗代四丁目変電所線,1722,1819,154.0,266.74,9e-06,0
1919,line,1981,豊洲変電所~八戸変電所線,1722,1821,154.0,533.47,2e-06,1
1920,line,1982,天間林線,1827,1750,66.0,68.59,0.000388,0
1921,line,1983,天間林線,1827,1809,66.0,68.59,0.000481,0
1922,line,1984,七戸線,1750,1826,66.0,68.59,0.000735,0
1923,line,1985,天間林線,1767,1809,66.0,137.18,2.1e-05,0
1924,line,1986,野辺地線,1767,1769,66.0,68.59,0.000895,0
1925,line,1987,舌崎線,1787,1786,66.0,68.59,0.000137,1
1926,line,1988,八戸変電所~長苗代四丁目変電所線,1819,1771,154.0,266.74,6e-06,0
1927,line,1989,軽米支線,1773,784,66.0,68.59,0.000207,1
1928,line,1990,東北電力ネットワーク 66.0kV線,784,1817,66.0,68.59,4.9e-05,1
