col,pp_bus,built_node_id,kv,lat,lon
4703,5233,tokyo_sub_1111@154,154.0,36.61375,139.06054
4704,5234,tokyo_sub_1111@66,66.0,36.61375,139.06054
4705,5235,tokyo_sub_1112,66.0,36.57069,139.04399
4706,5236,tokyo_sub_1113,66.0,36.26684,139.64673
4707,5237,tokyo_sub_1114,66.0,36.25465,139.08071
4708,5238,tokyo_sub_1115,66.0,35.90809,139.23404
4709,5239,tokyo_sub_1116,66.0,35.95985,139.41247
4710,5240,tokyo_sub_1118,66.0,36.29319,139.12896
4711,5241,tokyo_sub_1119@154,154.0,36.27798,139.11589
4712,5242,tokyo_sub_1119@66,66.0,36.27798,139.11589
4713,5243,tokyo_sub_1120,66.0,36.29409,138.84756
4714,5244,tokyo_sub_1121,66.0,36.30057,139.05228
4715,5245,tokyo_sub_1122@154,154.0,36.21689,139.15751
4716,5246,tokyo_sub_1122@66,66.0,36.21689,139.15751
4717,5247,tokyo_sub_1123,66.0,36.25948,139.33344
4718,5248,tokyo_sub_1124,66.0,36.2013,139.37233
4719,5249,tokyo_sub_1125,66.0,36.33057,139.57842
4720,5250,tokyo_sub_1126,66.0,36.23129,139.46432
4721,5251,tokyo_sub_1127,66.0,36.22533,139.46844
4722,5252,tokyo_sub_1128,66.0,36.21202,139.50843
4723,5253,tokyo_sub_1129,66.0,36.20757,139.47849
4724,5254,tokyo_sub_1130,66.0,36.20859,139.48374
4725,5255,tokyo_sub_1131,66.0,35.95588,139.42083
4726,5256,tokyo_sub_1132,66.0,36.33207,139.07386
4727,5257,tokyo_sub_1133@154,154.0,36.17248,139.29037
4728,5258,tokyo_sub_1133@66,66.0,36.17248,139.29037
4729,5259,tokyo_sub_1134@154,154.0,36.17517,139.293
4730,5260,tokyo_sub_1134@66,66.0,36.17517,139.293
4731,5261,tokyo_sub_1135,66.0,36.24872,139.15979
4732,5262,tokyo_sub_1136,66.0,35.95765,139.61695
4733,5263,tokyo_sub_1137,66.0,36.99291,138.59129
4734,5264,tokyo_sub_1138,66.0,36.36114,139.00922
4735,5265,tokyo_sub_1139@500,500.0,36.3278,139.28962
4736,5266,tokyo_sub_1139@66,66.0,36.3278,139.28962
4737,5267,tokyo_sub_1140,66.0,36.26559,139.43552
4738,5268,tokyo_sub_1141,66.0,36.27462,139.40817
4739,5269,tokyo_sub_1142,66.0,36.40867,139.32912
4740,5270,tokyo_sub_1143,66.0,36.41017,139.3435
4741,5271,tokyo_sub_1144,66.0,36.40056,139.30729
4742,5272,tokyo_sub_1145,66.0,36.39545,139.31945
4743,5273,tokyo_sub_1146,66.0,36.33682,139.25263
4744,5274,tokyo_sub_1147,66.0,36.33045,139.25168
4745,5278,tokyo_sub_1151,66.0,36.27359,139.28043
4746,5279,tokyo_sub_1152,66.0,36.27416,139.28062
4747,5280,tokyo_sub_1153,66.0,36.33411,139.20412
4748,5281,tokyo_sub_1154,66.0,36.3152,139.49715
4749,5282,tokyo_sub_1155,66.0,36.73581,139.50138
4750,5283,tokyo_sub_1156,66.0,36.40753,139.33198
4751,5284,tokyo_sub_1157,66.0,36.30224,139.28883
4752,5285,tokyo_sub_1159,66.0,36.23517,139.41113
4753,5286,tokyo_sub_1160@154,154.0,36.28871,139.20377
4754,5287,tokyo_sub_1160@u,66.0,36.28871,139.20377
4755,5288,tokyo_sub_1161,66.0,36.39056,139.24492
4756,5289,tokyo_sub_1162,66.0,36.41949,139.10362
4757,5290,tokyo_sub_1163,66.0,36.18287,139.32674
4758,5291,tokyo_sub_1164,66.0,36.17032,139.3072
4759,5292,tokyo_sub_1165,154.0,36.20603,139.15368
4760,5293,tokyo_sub_1166,66.0,36.28628,139.26846
4761,5294,tokyo_sub_1167,66.0,36.48588,139.01042
4762,5295,tokyo_sub_1168@66,66.0,36.72694,139.54329
4763,5296,tokyo_sub_1169@154,154.0,36.47845,139.02988
4764,5297,tokyo_sub_1169@66,66.0,36.47845,139.02988
4765,5298,tokyo_sub_1170,66.0,36.33035,139.36849
4766,5299,tokyo_sub_1171@154,154.0,36.23863,139.14063
4767,5300,tokyo_sub_1171@66,66.0,36.23863,139.14063
4768,5301,tokyo_sub_1172,66.0,36.3246,139.03909
4769,5302,tokyo_sub_1173@500,500.0,36.20721,139.06146
4770,5303,tokyo_sub_1173@275,275.0,36.20721,139.06146
4771,5304,tokyo_sub_1173@66,66.0,36.20721,139.06146
4772,5305,tokyo_sub_1174,66.0,36.31982,139.57822
4773,5306,tokyo_sub_1175,66.0,36.28053,139.55127
4774,5309,tokyo_sub_1178,500.0,36.07844,138.79371
4775,5312,tokyo_sub_1181,66.0,36.3259,139.62171
4776,5313,tokyo_sub_1182,154.0,36.29222,139.58829
4777,5316,tokyo_sub_1185,66.0,36.21611,139.64288
4778,5318,tokyo_sub_1187,66.0,36.50371,138.93007
4779,5319,tokyo_sub_1188,66.0,36.14236,139.54477
4780,5320,tokyo_sub_1189@154,154.0,36.06246,139.64193
4781,5321,tokyo_sub_1189@66,66.0,36.06246,139.64193
4782,5322,tokyo_sub_1190@154,154.0,36.06998,139.62926
4783,5323,tokyo_sub_1190@66,66.0,36.06998,139.62926
4784,5324,tokyo_sub_1191,66.0,36.0523,139.62118
4785,5325,tokyo_sub_1192,66.0,36.2606,138.90233
4786,5326,tokyo_sub_1193,66.0,36.29403,139.36949
4787,5327,tokyo_sub_1194,66.0,36.46354,139.20629
4788,5328,tokyo_sub_1195,66.0,36.46629,139.20711
4789,5331,tokyo_sub_1198,66.0,36.31543,139.61089
4790,5332,tokyo_sub_1199,66.0,36.24531,139.12696
4791,5333,tokyo_sub_1200@500,500.0,36.37711,138.96692
4792,5334,tokyo_sub_1200@275,275.0,36.37711,138.96692
4793,5335,tokyo_sub_1201,66.0,36.40952,139.15792
4794,5336,tokyo_sub_1202,66.0,36.28393,139.07146
4795,5337,tokyo_sub_1203,66.0,36.34969,139.13722
4796,5338,tokyo_sub_1204,66.0,36.32271,138.76311
4797,5339,tokyo_sub_1205,66.0,36.25971,139.04933
4798,5340,tokyo_sub_1206,66.0,36.28532,139.23625
4799,5341,tokyo_sub_1207@154,154.0,36.2599,139.2241
4800,5342,tokyo_sub_1207@66,66.0,36.2599,139.2241
4801,5343,tokyo_sub_1208@154,154.0,36.2655,139.22183
4802,5344,tokyo_sub_1208@66,66.0,36.2655,139.22183
4803,5345,tokyo_sub_1209,66.0,36.26467,139.21934
4804,5346,tokyo_sub_1210,66.0,36.26314,139.21659
4805,5347,tokyo_sub_1211,66.0,36.26512,139.21799
4806,5348,tokyo_sub_1212@275,275.0,36.2095,139.33545
4807,5349,tokyo_sub_1212@66,66.0,36.2095,139.33545
4808,5350,tokyo_sub_1213,66.0,36.1821,139.32346
4809,5351,tokyo_sub_1214,66.0,36.17832,139.32114
4810,5352,tokyo_sub_1215,66.0,36.15258,139.38222
4811,5353,tokyo_sub_1216@500,500.0,36.07996,139.49254
4812,5354,tokyo_sub_1216@66,66.0,36.07996,139.49254
4813,5355,tokyo_sub_1217,66.0,36.10143,139.45107
4814,5356,tokyo_sub_1218,66.0,35.91123,139.34518
4815,5357,tokyo_sub_1219,66.0,35.98181,139.44619
4816,5358,tokyo_sub_1220@500,500.0,36.12854,139.33809
4817,5359,tokyo_sub_1220@66,66.0,36.12854,139.33809
4818,5360,tokyo_sub_1221,66.0,36.13393,139.35859
4819,5361,tokyo_sub_1222@500,500.0,36.1876,139.34842
