muni_code,pref_code,pref_name_x,muni_name_x,pref_name_y,muni_name_y,n_bus,load_mw,customers,intensity_mean,expected_outage_days,served_t0,outage_customers_t0,served_t0.25,outage_customers_t0.25,served_t0.5,outage_customers_t0.5,served_t1,outage_customers_t1,served_t2,outage_customers_t2,served_t3,outage_customers_t3,served_t4,outage_customers_t4,served_t5,outage_customers_t5,served_t7,outage_customers_t7,served_t10,outage_customers_t10,served_t14,outage_customers_t14,served_t21,outage_customers_t21,served_t30,outage_customers_t30,served_t45,outage_customers_t45,served_t60,outage_customers_t60,served_t90,outage_customers_t90
08201,08,茨城県,水戸市,茨城県,水戸市,27,323.9108179739188,224245.95090502064,4.572936960559547,0.15797360190546858,0.833412802517414,37356.50450808494,0.8476106748647158,34172.68912273614,0.862943564671793,30734.350667826224,0.9675412492178103,7278.743434341181,0.9886462399032379,2546.0347292458514,0.9967548933882772,727.7020179339542,0.9987717390501939,275.432544648733,0.9993890379019723,137.00577663909073,0.9996912726759907,69.23085234275949,0.9996896445751188,69.59594737097237,0.9996679195761682,74.46769041913262,0.9996394288539885,80.85661950623974,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
08202,08,茨城県,日立市,茨城県,日立市,40,265.9267826576,184103.1572244923,4.062310048099073,0.1574250558346403,0.8334128025174142,30669.229009724055,0.8472513869001452,28121.501933345695,0.8631072700471807,25202.383785393868,0.968540527551694,5791.7882023500615,0.9896291917338408,1909.2985447697836,0.9958271138179572,768.2415208525583,0.9980811236227366,353.2711993776982,0.9996976798772813,55.65808908502744,0.999691272675991,56.837675071524764,0.9996896445751189,57.137413582341516,0.9996679195761682,61.13705447990518,0.9996394288539885,66.38228638475239,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
08203,08,茨城県,土浦市,茨城県,土浦市,27,307.9152220245895,213172.07678625418,4.769422083309827,0.15739786779532233,0.833412802517414,35511.738853364695,0.847536074956516,32501.051536503255,0.8652769413590429,28719.194201489092,0.9701464586792051,6363.941402778042,0.9887342550228166,2401.542253330441,0.9958681254379158,880.8002814197257,0.9973600026384574,562.7737202702112,0.9993730045526057,133.6579216565327,0.9996912726759907,65.81204481966026,0.999689644575119,66.15911046376385,0.999667919576168,70.79027360831127,0.9996394288539885,76.86370002445013,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
08204,08,茨城県,古河市,茨城県,古河市,30,247.9317372146045,171645.04884088,5.096526197222358,0.15958271105202987,0.8334128025174142,28593.86764816378,0.8471769734976751,26231.31584800263,0.8641423553420651,23319.292052718152,0.9701397700751982,5125.3606238425255,0.98855899047467,1963.7926387642087,0.9942154233013429,992.8939499648009,0.9980041165890231,342.5835055578102,0.9990525185869584,162.63049341731423,0.9996912726759909,52.99151660803814,0.9996896445751188,53.27097206173194,0.9996679195761682,56.999960567731144,0.9996394288539884,61.89025196773909,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
08205,08,茨城県,石岡市,茨城県,石岡市,19,91.9746767086436,63674.77618290711,4.698280662674148,0.16839692974058235,0.8334128025174143,10607.402514641402,0.8476388336134993,9701.5631686271,0.8681736153882483,8394.01553515512,0.9637073761613472,2310.9247000166533,0.9846880227327348,974.9867254108794,0.9946992942690849,337.5212510274719,0.9964367954109027,226.8862547046838,0.998610723355542,88.46187939199913,0.9996912726759909,19.658143257820598,0.999689644575119,19.76181221644895,0.9996679195761682,21.145146662222846,0.9996394288539885,22.959287020290304,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
08207,08,茨城県,結城市,茨城県,結城市,4,39.988989873323305,27684.685296916134,4.935717453242505,0.14975746970623788,0.8334128025174141,4611.914136800609,0.8459556770324705,4264.66860313256,0.8607666331529618,3854.63194399033,0.9696361270546913,840.6142668864182,0.9921880227327348,216.27213219090245,0.9996992942690849,8.324943527364198,0.99969766497612,8.370049990353314,0.9996976798772812,8.369637456395104,0.9996912726759909,8.547018807748085,0.9996896445751189,8.59209226802128,0.9996679195761682,9.193542027053411,0.9996394288539885,9.982298704474044,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
08208,08,茨城県,龍ケ崎市,茨城県,龍ケ崎市,7,119.96696961996992,83054.05589074841,5.051783818795707,0.16933014679079306,0.8334128025174142,13835.742410401828,0.8459556770324705,12794.005809397679,0.862097843537728,11453.33341027227,0.9639847301940122,2991.214231386886,0.9880213560660681,994.8749627841594,0.9963659609357516,301.8216835512511,0.9963643316427867,301.9570029402215,0.9963643465439478,301.9557653383469,0.9996912726759909,25.641056423244258,0.9996896445751189,25.776276804063844,0.9996679195761682,27.580626081160233,0.9996394288539885,29.946896113422135,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
08210,08,茨城県,下妻市,茨城県,下妻市,5,19.994494936661653,13842.342648458067,5.085329691950067,0.14834623534232433,0.8334128025174141,2305.9570684003047,0.8459556770324705,2132.33430156628,0.8630063688755036,1896.31278268175,0.9799819353222847,277.09691042793014,0.99,138.4234264845808,0.9946992942690848,73.37418500597249,0.99969766497612,4.185024995176657,0.9996976798772812,4.184818728197552,0.9996912726759909,4.273509403874042,0.9996896445751189,4.29604613401064,0.9996679195761682,4.5967710135267055,0.9996394288539885,4.991149352237022,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
08211,08,茨城県,常総市,茨城県,常総市,12,119.96696961996992,83054.05589074841,5.132820790695465,0.1472608933846161,0.8334128025174142,13835.742410401828,0.8472342119614283,12687.818297949758,0.8636486583948135,11324.531946455685,0.9688754823307197,2585.017430076998,0.9938546893994012,510.3929700881266,0.9996992942690849,24.974830582092594,0.9996976649761201,25.110149971059943,0.9996976798772811,25.10891236918531,0.9996912726759909,25.641056423244258,0.9996896445751189,25.776276804063844,0.9996679195761682,27.580626081160233,0.9996394288539885,29.946896113422135,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
08212,08,茨城県,常陸太田市,茨城県,常陸太田市,7,79.97797974664661,55369.37059383227,4.307534933925801,0.15377127277664895,0.8334128025174141,9223.828273601219,0.8479584241658449,8418.446358031586,0.8615064851194619,7668.298750262932,0.9649135479331016,1942.714767314828,0.9934380227327346,363.3325511395145,0.9984492942690848,85.86160029701878,0.9984476649761199,85.95181322299702,0.9996976798772812,16.739274912790208,0.9996912726759909,17.09403761549617,0.9996896445751189,17.18418453604256,0.9996679195761682,18.387084054106822,0.9996394288539885,19.964597408948087,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
